id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32492523,★Beacon Hill Writer's Lair★Comfort History★Ace Loc,105384549,Laura,,Beacon Hill,42.35836,-71.06883,Entire home/apt,69,28,11,2020-10-16,0.51,1,290
32546785,Quiet getaway in a Boston home,81492503,Mark,,West Roxbury,42.26444,-71.16336,Entire home/apt,1200,91,7,2019-06-28,0.32,3,89
32570056,Studio That Is Safe/Clean Ready 4 You! 143-22,244600805,Bay Village,,South End,42.34751,-71.06926,Entire home/apt,84,2,46,2020-08-07,2.20,20,72
32570057,Studio That Is Safe/Clean Ready 4 You! 143-12,244600805,Bay Village,,South End,42.34759,-71.06985,Entire home/apt,84,2,28,2020-05-22,1.25,20,222
32570059,Modern Efficiency Studio Awaits Your Stay! 1-1,244600805,Bay Village,,Bay Village,42.34878,-71.06916,Private room,51,2,41,2020-03-01,1.82,20,99
32592761,Stunning BOSTON BROWNSTONE by interior designer,244969139,Keith,,Fenway,42.35071,-71.09302,Entire home/apt,190,28,2,2019-10-31,0.11,1,0
32593358,Boston Professionally Sanitized. long term discoun,19610602,Emma,,Hyde Park,42.27138,-71.10683,Entire home/apt,203,3,75,2020-03-29,3.27,1,0
32605604,Fresh Studio Close to T - Superhost Manager!,245100483,Cecilia,,Roxbury,42.32592,-71.0959,Entire home/apt,142,91,10,2019-08-17,0.45,1,0
32632691,Cozy private room w/ priv. Entrance GREAT LOCATION,160748778,Nacho,,Allston,42.35097,-71.1257,Private room,65,91,32,2019-11-07,1.56,1,0
32660989,Beautiful Rental with 180 Degree Harbor Views!,245574213,Jeffrey,,Downtown,42.35822,-71.05025,Entire home/apt,217,91,0,,,2,180
32686394,2R Traveling Medical Professional Home 4 BR | 3.5B,814298,Thatch,,Roxbury,42.32848,-71.09729,Private room,49,100,0,,,89,155
32687520,Modern Single Studio at the Heart of Boston! 1-21,244600805,Bay Village,,South End,42.34762,-71.06876,Private room,43,2,17,2020-02-23,0.79,20,10
