total_listings,latitude,longitude,accommodates,bathrooms,bedrooms,num_of_beds,min_nights,max_nights,avail_next_30_days,avail_next_60_days,avail_next_90_days,avail_next_365_days,num_of_reviews,avg_review_score,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,years_hosting
1,52.341429999999995,4.89142,2,1.0,1.0,1.0,2,11250,30,60,90,90,38,99.0,10.0,10.0,10.0,10.0,9.0,10.0,9.07
3,52.35729,4.90163,4,1.0,1.0,2.0,1,90,25,29,29,40,352,95.0,10.0,9.0,10.0,10.0,10.0,10.0,9.05
1,52.34919,4.85889,4,1.0,2.0,2.0,1,7,0,0,0,0,32,95.0,9.0,9.0,10.0,9.0,9.0,9.0,9.05
3,52.3555,4.89215,4,1.5,1.0,4.0,3,1125,0,0,0,0,535,99.0,10.0,10.0,10.0,10.0,10.0,9.0,9.03
1,52.36182,4.856990000000001,4,1.0,4.0,4.0,2,14,0,0,0,0,27,98.0,10.0,9.0,10.0,10.0,10.0,10.0,9.02
1,52.368840000000006,4.90648,2,1.0,1.0,1.0,4,30,27,57,87,87,37,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
2,52.35549,4.908519999999999,2,1.0,1.0,1.0,4,30,29,38,38,144,390,98.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
1,52.35711,4.90391,4,1.5,2.0,3.0,2,19,0,0,0,0,43,95.0,9.0,9.0,10.0,10.0,9.0,9.0,8.99
1,52.36076,4.98876,4,1.0,3.0,3.0,7,365,23,53,83,358,3,80.0,10.0,9.0,10.0,10.0,10.0,8.0,8.98
0,52.35683,4.89925,2,1.0,1.0,1.0,3,3,28,58,88,363,27,93.0,9.0,8.0,10.0,10.0,10.0,8.0,8.96
1,52.36545,4.8753,4,1.5,4.0,4.0,2,1125,3,9,15,53,84,97.0,10.0,10.0,10.0,10.0,10.0,9.0,8.96
8,52.37962,4.8945,2,1.5,2.0,3.0,7,1125,30,60,90,90,107,97.0,10.0,9.0,10.0,10.0,10.0,9.0,8.95
1,52.37021,4.93007,2,1.0,1.0,1.0,6,30,0,0,0,0,52,98.0,10.0,10.0,10.0,10.0,9.0,10.0,8.95
1,52.36248,4.90204,2,1.5,1.0,1.0,3,11,29,59,89,89,11,100.0,10.0,10.0,10.0,10.0,10.0,9.0,8.94
1,52.36594,4.87807,2,1.5,1.0,1.0,3,12,11,11,11,11,68,98.0,10.0,10.0,10.0,10.0,10.0,9.0,8.94
1,52.37213,4.90379,2,1.5,1.0,1.0,2,30,30,55,82,250,104,99.0,10.0,10.0,10.0,10.0,10.0,10.0,8.92
2,52.354659999999996,4.90763,2,1.0,1.0,1.0,3,1125,0,0,0,0,82,93.0,10.0,9.0,10.0,10.0,10.0,9.0,8.92
1,52.37545,4.87635,3,1.0,1.0,1.0,2,100,0,0,0,0,109,93.0,9.0,9.0,10.0,10.0,10.0,9.0,8.91
1,52.37927,4.8775,4,1.0,2.0,2.0,4,13,0,0,0,0,55,96.0,10.0,9.0,10.0,10.0,10.0,10.0,8.9
1,52.378240000000005,4.88532,2,1.0,1.0,1.0,3,7,0,0,0,0,574,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.89
1,52.35338,4.934069999999999,2,1.5,1.0,1.0,2,1125,30,56,80,350,194,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.88
1,52.361309999999996,4.92579,4,1.5,2.0,3.0,2,1125,0,0,0,0,8,95.0,10.0,9.0,9.0,10.0,10.0,10.0,10.14
1,52.35971,4.86177,3,1.0,1.0,2.0,20,20,0,0,0,0,23,92.0,9.0,8.0,10.0,10.0,9.0,9.0,8.87
0,52.34949,4.8320099999999995,2,1.0,1.0,2.0,3,40,0,11,41,41,7,90.0,10.0,10.0,10.0,10.0,9.0,10.0,8.86
1,52.35099,4.84665,2,1.0,1.0,1.0,4,30,23,53,83,83,7,97.0,10.0,9.0,10.0,10.0,9.0,9.0,8.86
1,52.363,4.89917,4,2.0,2.0,3.0,180,365,23,53,83,358,78,98.0,9.0,10.0,10.0,10.0,10.0,9.0,8.86
1,52.36958,4.93516,3,1.0,1.0,1.0,2,30,30,60,90,362,67,98.0,10.0,10.0,10.0,10.0,10.0,9.0,9.3
1,52.36872,4.86022,4,1.0,2.0,2.0,3,3,0,0,0,0,21,97.0,9.0,10.0,10.0,10.0,9.0,10.0,8.85
8,52.37964,4.894419999999999,3,2.5,3.0,5.0,7,1124,0,26,56,77,134,97.0,10.0,10.0,10.0,10.0,10.0,9.0,8.95
1,52.37853,4.85573,2,1.0,2.0,1.0,4,7,0,0,0,0,18,95.0,10.0,10.0,10.0,10.0,10.0,10.0,8.9
1,52.36177,4.88744,2,1.0,1.0,1.0,2,100,28,58,88,363,24,95.0,9.0,9.0,9.0,10.0,10.0,9.0,8.82
1,52.35298,4.90512,2,1.0,1.0,1.0,3,7,0,0,0,40,123,92.0,10.0,9.0,10.0,10.0,10.0,9.0,8.81
2,52.36994,4.86707,2,1.0,1.0,1.0,4,21,0,0,0,0,52,98.0,10.0,10.0,10.0,10.0,10.0,9.0,8.81
1,52.34279,4.84985,4,1.0,2.0,2.0,3,60,0,0,18,61,105,97.0,10.0,10.0,10.0,10.0,9.0,10.0,8.81
1,52.37379,4.94488,4,2.0,3.0,3.0,4,30,0,0,16,214,33,91.0,9.0,9.0,10.0,10.0,9.0,9.0,8.81
1,52.36446,4.88871,2,1.0,1.0,1.0,4,45,0,0,0,0,9,89.0,9.0,9.0,9.0,10.0,10.0,9.0,8.86
2,52.36903,4.8560300000000005,3,1.0,2.0,3.0,2,30,30,60,90,365,398,96.0,10.0,10.0,10.0,10.0,10.0,9.0,8.8
1,52.35852,4.90356,3,1.0,2.0,2.0,2,30,29,59,89,364,239,91.0,9.0,9.0,10.0,10.0,10.0,9.0,9.12
1,52.35353,4.847090000000001,2,1.0,1.0,1.0,5,7,0,0,0,0,73,93.0,9.0,8.0,9.0,9.0,9.0,9.0,8.8
3,52.37007,4.9017,4,1.0,2.0,3.0,3,1125,27,51,75,336,77,92.0,9.0,9.0,9.0,9.0,10.0,9.0,8.79
1,52.371159999999996,4.87896,4,1.5,1.0,3.0,3,60,1,1,1,1,60,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.79
1,52.35698,4.92061,4,1.5,3.0,3.0,3,14,28,58,88,88,18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,10.99
